Code,Name,Polling_Districts
1890,TENT AT OPEN SPACE BY TURN RITE  ,TSOLAMOSESE WEST
2773,TENT AT DIKWII KGOTLA,TSOLAMOSESE WEST
1892,BODIBANA KGOTLA,DIREMOGOLO
1893,TENT AT GOO-KOBUE KGOTLA,DIREMOGOLO
1894,TENT AT OPEN SPACE BY LESIRANE INDUSTRIAL SITE,DIREMOGOLO
1895,MMUPUTSWANE KGOTLA,DIREMOGOLO
2774,TENT AT LESETLHENG KGOTLA,DIREMOGOLO
1896,TENT ANGLICAN CHURCH,MMANKGODI NORTH
1897,LETLOLE PRIMARY SCHOOL,MMANKGODI NORTH
1898,COMMUNITY HALL  ,MMANKGODI NORTH
1899,TENT AT UCCSA,MMANKGODI NORTH
1900,TENT AT PHIRIYABOKWETE MOBILE CLINIC,MMANKGODI SOUTH
1901,TENT AT MOSETLHA TREE OPEN SPACE,MMANKGODI SOUTH
1902,TENT AT DIROKOLWE OPEN SPACE,MMANKGODI SOUTH
1903,THOBEGA COMMUNITY JUNIOR SECONDARY SCHOOL,MMANKGODI SOUTH
1904,TLOANENG PRIMARY SCHOOL,TLOANENG-MMOKOLODI
1905,MMOKOLODI PRIMARY SCHOOL,TLOANENG-MMOKOLODI
1906,TENT AT GOO-NKU DAY CARE CENTER  ,TLOANENG-MMOKOLODI
1907,TENT AT MMOKOLODI KGOTLA,TLOANENG-MMOKOLODI
1908,TENT AT GABANE CLINIC,GABANE SOUTH
1909,GABANE PRIMARY SCHOOL  ,GABANE SOUTH
1910,GABANE PRIVATE SCHOOL,GABANE SOUTH
1911,TENT AT UCCSA,GABANE WEST
1912,GABANE MAIN KGOTLA,GABANE WEST
1913,TENT AT GABANE OLD SCHOOL,GABANE WEST
1914,TENT AT MATLANYANE KGOTLA,GABANE WEST
1915,GABANE JUNIOR SECONDARY SCHOOL,GABANE EAST
1916,GASIKO PRIMARY SCHOOL,GABANE EAST
1917,TENT AT HOLY CHURCH,GABANE EAST
1918,TENT AT MOKOLWE KGOTLA,GABANE EAST
1919,TENT AT SPIRITUAL HEALING CHURCH,GABANE CENTRAL
1920,TENT AT BOTSWANA POST OFFICE,GABANE CENTRAL
1921,PULE PRIMARY SCHOOL,GABANE CENTRAL
1922,TENT AT ANGLICAN CHURCH,GABANE CENTRAL
1923,TENT AT LESIRANE CLINIC  ,LESIRANE WEST
1924,TENT AT OPEN SPACE NEAR MOUMO TREE,LESIRANE WEST
1925,TENT AT BOTSWANA POLICE POST ,LESIRANE WEST
1926,MOROPE KGOTLA ,MMOPANE SOUTH CENTRAL
1927,TENT AT SENTHUMOLE KGOTLA,MMOPANE SOUTH CENTRAL
1928,LRC INTERNATIONAL SCHOOL,MMOPANE SOUTH CENTRAL
1929,TENT AT OPEN SPACE BY MORULA TREE AT OLD STANDPIPE,MMOPANE SOUTH CENTRAL
1930,MMOPANE PRIMARY SCHOOL ,MMOPANE WEST
1931,TENT AT OPEN SPACE PLAYGROUND BY DRIVING SCHOOL,MMOPANE WEST
1932,TENT AT OPEN SPACE AT PLOT NO. 1406 ,MMOPANE WEST
1933,TENT AT RADIKOKO KGOTLA,MMOPANE WEST
1934,TENT AT OPEN SPACE AT PLOT NO. 668,MMOPANE WEST
1935,SERAMENG PRIMARY SCHOOL,METSIMOTLHABE SOUTH
1936,MADISA KGOTLA,METSIMOTLHABE SOUTH
1937,JOYLAND ENGLISH MEDIUM SCHOOL,METSIMOTLHABE SOUTH
1938,TENT AT RAKOLA VDC ,METSIMOTLHABE SOUTH
2775,TENT AT OPEN SPACE AT PLOT NO. 1574,METSIMOTLHABE SOUTH
2776,TENT AT MOPHAKANE KGOTLA,METSIMOTLHABE SOUTH
1939,METSIMOTLHABE PRIMARY SCHOOL,METSIMOTLHABE CENTRAL
1940,METSIMOTLHABE COMMUNITY HALL,METSIMOTLHABE CENTRAL
1941,IKAGENG JUNIOR SECONDARY SCHOOL,METSIMOTLHABE CENTRAL
1942,TENT AT MONAGENG CATTLE TROUGH,METSIMOTLHABE CENTRAL
1943,TENT AT DINTOROKONG FOOTBALL PITCH,METSIMOTLHABE NORTH
1944,GAMONONYANE KGOTLA,METSIMOTLHABE NORTH
1945,TENT AT SERAMENG KGOTLA,METSIMOTLHABE NORTH
1946,TENT AT MMA-MHIKO KGOTLA,METSIMOTLHABE NORTH
2777,MOKGOTLHWANENG KGOTLA,METSIMOTLHABE NORTH
2778,TENT AT LETSWAINYANA OPEN SPACE,METSIMOTLHABE NORTH
1947,TENT AT MMOPANE BLOCK 1 KGOTLA ,MMOPANE NORTH-WEST
1948,TENT AT CREATIVE HANDS ACADEMY,MMOPANE NORTH-WEST
1949,TENT AT GRACE CITY CHURCH,MMOPANE NORTH-WEST
1950,TENT AT OPEN SPACE AT PLOT NO. 4098,MMOPANE NORTH-WEST
1951,TENT AT OPEN SPACE NEAR GAPHATSHWA STREAM ,MMOPANE NORTH-WEST
