Code,Name,Polling_Districts
2179,TENT AT GOO-MOIPHISI KGOTLA,LETLHAKENG SOUTH
2180,TENT AT RALEBAKENG KGOTLA,LETLHAKENG SOUTH
2181,MOTOKWE PRIMARY SCHOOL,MOTOKWE
2182,MOTOKWE COMMUNITY HALL,MOTOKWE
2183,KHEKHENYE PRIMARY SCHOOL,MOTOKWE
2184,FREE CHURCH OF BOTSWANA  ,MOTOKWE
2185,TSETSENG PRIMARY SCHOOL,MOTOKWE
2186,TSHWAANE PRIMARY SCHOOL,DUTLWE- TSHWAANE
2187,DUTLWE PRIMARY SCHOOL,DUTLWE- TSHWAANE
2188,DUTLWE COMMUNITY HALL,DUTLWE- TSHWAANE
2189,TENT AT NHWI,DUTLWE- TSHWAANE
2190,TENT AT MARETLWE NEAR BARATANGWAGA BABUPI'S FARM,DUTLWE- TSHWAANE
2191,SALAJWE PRIMARY SCHOOL,SALAJWE-KAUDWANE
2192,TENT AT MOTHATE,SALAJWE-KAUDWANE
2193,TENT AT KOLOJANE MOBILE HEALTH STOP,SALAJWE-KAUDWANE
2194,LEMPU JUNIOR SECONDARY SCHOOL,SALAJWE-KAUDWANE
2195,TENT AT KAUDWANE RAC,SALAJWE-KAUDWANE
2196,KAUDWANE PRIMARY SCHOOL,SALAJWE-KAUDWANE
2197,TENT AT MEREACHE,SALAJWE-KAUDWANE
2198,TENT AT MOSIME,SALAJWE-KAUDWANE
2199,TENT AT KUNGWANE VDC HUTS,SALAJWE-KAUDWANE
2200,SORILATHOLO PRIMARY SCHOOL,SALAJWE-KAUDWANE
2787,SALAJWE COMMUNITY HALL,SALAJWE-KAUDWANE
2788,TENT AT NGANGASI,SALAJWE-KAUDWANE
2201,SESUNG PRIMARY SCHOOL,SESUNG-METSIBOTLHOKO
2202,SESUNG COMMUNITY HALL ,SESUNG-METSIBOTLHOKO
2203,TENT AT SESUNG KGOTLA,SESUNG-METSIBOTLHOKO
2204,TENT AT SENOGI VDC HUTS,SESUNG-METSIBOTLHOKO
2205,METSIBOTLHOKO PRIMARY SCHOOL,SESUNG-METSIBOTLHOKO
2206,DITSHEGWANE COMMUNITY HALL,DITSHEGWANE
2207,TENT AT DITSHEGWANE KGOTLA,DITSHEGWANE
2208,DITSHEGWANE PRIMARY SCHOOL,DITSHEGWANE
2209,TENT AT SEBOTSWANE MOBILE STOP,DITSHEGWANE
2210,TENT AT KGARE MOBILE STOP  ,DITSHEGWANE
2211,TENT AT SELETSE,DITSHEGWANE
2212,MABOANE PRIMARY SCHOOL ,MABOANE
2213,TENT AT MAGAGARAPE DEBEERS CAMP,MABOANE
2214,TENT AT KOSUE VDC HUTS,MABOANE
2215,TENT AT PHUDUHUDU,MABOANE
2216,TENT AT MASOPE VDC HUTS,MABOANE
2789,TENT AT SATSE MOBILE STOP,MABOANE
2790,TENT AT MMAMATLHAKU BOREHOLE,MABOANE
2791,MABOANE COMMUNITY HALL,MABOANE
2217,TAKATOKWANE PRIMARY SCHOOL,TAKATOKWANE
2218,TENT AT TAKATOKWANE KGOTLA,TAKATOKWANE
2219,KWENENG BOPHIRIMA BRIGADE,TAKATOKWANE
2220,TENT AT MASERU MOBILE STOP,TAKATOKWANE
2221,MAHUPU UNIFIED SCHOOL,TAKATOKWANE
2792,TENT AT MAGAKABE MOBILE STOP,TAKATOKWANE
2223,LOBATSE SENIOR SECONDARY SCHOOL,BOSWELATLOU
2224,LOBATSE BRIGADE,BOSWELATLOU
2225,PITIKWE PRIMARY SCHOOL,PITIKWE
2226,TENT AT OPEN SPACE AT PLOT NO. 6671 PITIKWE KGOTLA,PITIKWE
2227,TENT AT OPEN SPACE AT PLOT NO. 3791 (BARCELONA GROUNDS),TSOPENG NORTH
2228,CATHOLIC CHURCH ,TSOPENG NORTH
2229,SHHA II OFFICES,TSOPENG SOUTH
2230,LETSOPA JUNIOR SECONARY SCHOOL  ,TSOPENG SOUTH
2231,BOITHAOPO DAY CARE CENTRE,TSOPENG SOUTH
2232,BCW NURSERY SCHOOL,WOODHALL
2793,WOODHALL COMMUNITY HALL,WOODHALL
2233,BOTHAKGA PRIMARY SCHOOL,BOTOKA
2234,BOTOKA WDC CONFERENCE CENTRE,BOTOKA
2235,PLOT 1968 (MARKET STALLS FOR POVERTY ERADICATION),BOTOKA
2236,NEWLOOK PRIMARY SCHOOL,NEWLOOK-MAIPEI
2237,SHHA I OFFICES,NEWLOOK-MAIPEI
2238,ANGLICAN CHURCH,MAOKANENG
2239,LUTHERAN CHURCH,MAOKANENG
2240,AGRICULTURE RESEARCH OFFICES,MAOKANENG
2241,LESEDI LA PELA SCHOOL,THEMA-MOTSWEDI
2242,IPELEGENG JUNIOR SECONDADY SCHOOL,THEMA-MOTSWEDI
2243,VDC HOUSE,PELENG EAST
2244,KGODISO DAY CARE CENTRE,PELENG EAST
2245,TENT AT OPEN SPACE LOT D23 OPPOSITE MR OGOTSENG  (PLOT D9),PELENG EAST
2246,HILL PRIMARY SCHOOL,PELENG CENTRAL
2247,PELENG KGOTLA,PELENG CENTRAL
2248,PELENG WEST PRIMARY SCHOOL,KGABOESELE
2249,TENT AT HILLSIDE,KGABOESELE
2250,PELENG OLD KGOTLA,KGABOESELE
2251,CRESCENT SCHOOL ,KGABOESELE
2252,MABULE PRIMARY SCHOOL,MABULE SEKHUTLANE
2253,MARIBA JUNIOR SECONDARY SCHOOL,MABULE SEKHUTLANE
2254,SEKHUTLANE PRIMARY SCHOOL,MABULE SEKHUTLANE
2255,TENT AT SEKHUTLANE TRIBAL OFFICE,MABULE SEKHUTLANE
2256,TSHIDILAMOLOMO PRIMARY SCHOOL,TSHIDILAMOLOMO-DIKHUKHUNG
2257,MMAKGORO PRIMARY SCHOOL,TSHIDILAMOLOMO-DIKHUKHUNG
2258,DIKHUKHUNG PRIMARY SCHOOL,TSHIDILAMOLOMO-DIKHUKHUNG
2259,TENT AT SEBOHELO KGOTLA,GA-MOLOPO
2260,PHITSHANE MOLOPO PRIMARY SCHOOL,GA-MOLOPO
2261,MOLOPO RIVER JUNIOR SECONDARY SCHOOL,GA-MOLOPO
2262,TENT AT PENTECOSTAL PROTESTANT CHURCH,GA-MOLOPO
2263,SEDIBENG PRIMARY SCHOOL,GA-MOLOPO
2264,LEPORUNG PRIMARY SCHOOL,GA-MOLOPO
2265,MOKATAKO PRIMARY SCHOOL,MOKATAKO-CWAAGARE
2266,TENT AT MOLETE KGOTLA,MOKATAKO-CWAAGARE
2267,TAWANA PRIMARY SCHOOL,MOKATAKO-CWAAGARE
2268,TENT AT SEKOKWANE KGOTLA,MOKATAKO-CWAAGARE
2269,CWAAGARE PRIMARY SCHOOL,MOKATAKO-CWAAGARE
2270,TENT AT MAROJANE KGOTLA,HEBRON
2271,MAROJANE PRIMARY SCHOOL,HEBRON
2272,IPHUTHENG JUNIOR SECONDARY SCHOOL,HEBRON
2273,LOGAGANE PRIMARY SCHOOL,HEBRON
2274,PHIHETSWANE PRIMARY SCHOOL,HEBRON
2275,RAMATLABAMA PRIMARY SCHOOL,RAMATLABAMA
2276,RAMATLABAMA COMMUNITY HALL,RAMATLABAMA
2277,ST. MARTINS PRIMARY SCHOOL  ,RAMATLABAMA
2278,TENT AT MAKOKWE KGOTLA,RAMATLABAMA
2279,MORELELO PRIMARY SCHOOL,RAKHUNA TLHARESELEELE
2280,TENT AT RAKHUNA KGOTLA,RAKHUNA TLHARESELEELE
2281,TENT AT METHODIST CHURCH ,RAKHUNA TLHARESELEELE
2282,TLHARESELEELE PRIMARY SCHOOL,RAKHUNA TLHARESELEELE
2283,NGWATSAU PRIMARY SCHOOL,PITSANE PHOTLOKWE-BOROBADILEPE
2284,SHEEP FARM PRIMARY SCHOOL,PITSANE PHOTLOKWE-BOROBADILEPE
2285,PITSANE POTLOKWE PRIMARY SCHOOL,PITSANE PHOTLOKWE-BOROBADILEPE
2286,BOROBADILEPE PRIMARY SCHOOL,PITSANE PHOTLOKWE-BOROBADILEPE
2287,TENT AT MATASALALO COUNCIL DAY CARE CENTRE,PITSANE PHOTLOKWE-BOROBADILEPE
2288,MAIPHITLHWANE PRIMARY SCHOOL,PITSANE EAST
2289,TENT AT PITSANE KGOTLA,PITSANE EAST
2290,TENT AT ASSEMBLES OF GOD CHURCH ,PITSANE EAST
2291,MONTSHIOA JUNIOR SECONDARY SCHOOL,PITSANE WEST
2292,TENT AT PITSANE ROMAN CATHOLIC CHURCH,PITSANE WEST
2293,DINATSHANA PRIMARY SCHOOL  ,PITSANE WEST
2294,TENT AT BETHELE HEALTH POST,PITSANE WEST
2295,TENT AT MALOKAGANYANE KGOTLA,PITSANE WEST
2296,TENT AT METHODIST CHURCH,GOODHOPE NORTH EAST
2297,TENT AT STUMP VTC,GOODHOPE NORTH EAST
2298,KGORO PRIMARY SCHOOL,GOODHOPE NORTH EAST
2794,TENT AT KGORO KGOTLA,GOODHOPE NORTH EAST
2299,LOTLAAMOREMG II JUNIOR SECONDARY SCHOOL,GOODHOPE SOUTH WEST
2300,TENT AT GAMOKOTO HEALTH POST,GOODHOPE SOUTH WEST
2301,TENT AT ROMAN CATHOLIC CHURCH  ,GOODHOPE SOUTH WEST
2302,MOGWALALE PRIMARY SCHOOL,GOODHOPE SOUTH WEST
2303,CWAANYANENG PRIMARY SCHOOL,METLOJANE
2304,MMADITLOU PRIMARY SCHOOL,METLOJANE
2305,TENT AT METLOJANE KGOTLA ,METLOJANE
2306,TENT MOGOBEWAKGOMO KGOTLA,METLOJANE
2795,METLOJANE PRIMARY SCHOOL,METLOJANE
2796,TENT AT MOGOBEWAKGOMO THOTENG FOOTBALL GROUND,METLOJANE
2307,MOKGOMANE PRIMARY SCHOOL,MOKGOMANE-MAGORIAPITSE
2308,MAGORIAPITSE PRIMARY SCHOOL,MOKGOMANE-MAGORIAPITSE
2309,TENT MAGORIAPITSE TRIBAL OFFICES,MOKGOMANE-MAGORIAPITSE
2310,MOSI PRIMARY SCHOOL,MOKGOMANE-MAGORIAPITSE
2311,TENT AT MOSI NAMOLA LEUBA DAM,MOKGOMANE-MAGORIAPITSE
2797,TENT AT MOKGOMANE KGOTLA,MOKGOMANE-MAGORIAPITSE
2312,KANNGWE PRIMARY SCHOOL,METLOBO
2313,TENT MMALORE CROP PRODUCTION OFFICE,METLOBO
2314,TENT AT LEHERWANA BOREHOLE,METLOBO
2315,TENT AT METLOBO KGOTLA,METLOBO
2316,METLOBO PRIMARY SCHOOL,METLOBO
2317,TENT AT PUDUSETSWA BOREHOLE,METLOBO
2318,TENT TSWAANENG KGOTLA,METLOBO
2319,TSWAANENG PRIMARY SCHOOL,METLOBO
2320,TENT AT MMATHETHE CLINIC,MMATHETHE SOUTH
2321,TENT AT MOKALA WA BOLEKE  ,MMATHETHE SOUTH
2322,TENT AT ROADS CAMP,MMATHETHE SOUTH
2798,TENT AT MOKALA WA GA RAMOTOBISI,MMATHETHE SOUTH
2799,TENT AT MMATHETHE ZCC CHURCH,MMATHETHE SOUTH
2323,MMATHETHE JUNIOR SECONDARY SCHOOL,MMATHETHE NORTH
2324,MMATHETHE PRIMARY SCHOOL,MMATHETHE NORTH
2325,RAMOLEFE PRIMARY SCHOOL,MMATHETHE NORTH
2326,TENT AT TEBOGO KGOTLA,MMATHETHE NORTH
2327,TENT AT MAGONONO DAM,MMATHETHE NORTH
2328,LORWANA PRIMARY SCHOOL,LORWANA-MOGOJOGOJO
2329,MOGOJOGOJO PRIMARY SCHOOL,LORWANA-MOGOJOGOJO
2330,TENT AT MOSELEBE (GOO RATSHETLHA),LORWANA-MOGOJOGOJO
2331,NTHWALANG JUNIOUR SECONDARY SCHOOL,DIGAWANA NORTH
2332,GOPONG PRIMARY SCHOOL  ,DIGAWANA NORTH
2333,TENT AT GOPONG KGOTLA,DIGAWANA NORTH
2334,DIGAWANA PRIMARY SCHOOL,DIGAWANA SOUTH
2335,TENT AT DIGAWANA VETERENARY OFFICE,DIGAWANA SOUTH
2336,TENT GATAMAPA PRIVATE SCHOOL,GATHWANE-GAMAJAALELA
2337,GATHWANE PRIMARY SCHOOL,GATHWANE-GAMAJAALELA
2338,LEJWANA PRIMARY SCHOOL,GATHWANE-GAMAJAALELA
2339,GAMAJAALELA PRIMARY SCHOOL ,GATHWANE-GAMAJAALELA
2340,MOTSENTSE PRIMARY SCHOOL  ,GATHWANE-GAMAJAALELA
2341,TENT AT MMADIKALO KGOTLA,GATHWANE-GAMAJAALELA
2342,TENT AT GATUMA MOBILE STOP,GATHWANE-GAMAJAALELA
2343,MODISE PRIMARY SCHOOL,GASEGOGWANE
2344,TENT AT MOSHANA KGOTLA,GASEGOGWANE
2345,TENT AT MAKAPANE MOBILE HEALTH STOP,GASEGOGWANE
2346,TENT AT GAKGOLOMU NEXT TO MR OREMENG'S MORAKA,GASEGOGWANE
2347,TENT AT MASOKWE VDC OFFICE,GASEGOGWANE
2348,TENT AT MHIKO,GASEGOGWANE
2349,TENT AT LOSABANYANA KGOTLA ,GASEGOGWANE
2350,TENT AT MPHAKETLHAPE OPEN SPACE,GASEGOGWANE
2351,MATLOTLAKGANG PRIMARY SCHOOL,KGOSING
2352,TENT AT PWD ,KGOSING
2353,TENT AT MOLAPOWADITAU,KGOSING
2354,TENT AT BOME KGOTLA,KGOSING
2355,MOKGADI PRIMARY SCHOOL,KGOSING
2356,TENT AT MMAPATSANE KGOTLA,KGOSING
2357,EDUCATION CENTRE,KGOSING
2358,TENT AT TELEKELO KGOTLA,KGOSING
2359,RACHELE PRIMARY SCHOOL,BAGAMI
2360,TENT AT GOORA KGAMA KGOTLA,BAGAMI
2361,TENT AT PHITSHANA KGOTLA,BAGAMI
2362,TENT AT SEGOTSHANE KGOTLA  ,BAGAMI
2363,TENT AT GOORA MAIKANO,BAGAMI
2364,TENT AT SEPOJANE OPEN SPACE,SEBAKO- LOBEKO
2365,TENT AT LOBEKO KGOTLA,SEBAKO- LOBEKO
2366,TENT AT U.C.C.S.A (JAMES GOOD) CHURCH,SEBAKO- LOBEKO
2367,TENT AT DIKGAGENG KGOTLA,SEBAKO- LOBEKO
2368,SEBAKO PRIMARY SCHOOL,SEBAKO- LOBEKO
2369,TENT AT PITSANENG KGOTLA,SEBAKO- LOBEKO
2370,TLHOMO JUNIOR SECONDARY SCHOOL,MAFHIKANA
2371,TENT AT MOSIELELE KGOTLA,MAFHIKANA
2372,TENT AT MAFHIKANA POST OFFICE,MAFHIKANA
2373,TENT AT MORUTSE WARD NEXT TO LOKGABA'S HOMESTEAD,MAFHIKANA
2374,TENT AT SENO KGOTLA,KEBUANG
2375,TENT AT MALOMA KA-TSEJWANA,KEBUANG
2376,TENT AT KEBUANG KGOTLA,KEBUANG
2377,TENT AT MAFHIKANA PRIMARY SCHOOL,KEBUANG
2378,TENT AT RAKGOKONYANE,LOTLHAKANE EAST-MOREANE
2379,TENT AT MMADITLHAKE VDC OFFICE,LOTLHAKANE EAST-MOREANE
2380,TENT AT FOOTBALL GROUND,LOTLHAKANE EAST-MOREANE
2381,PHUTISUTLHA PRIMARY SCHOOL,LOTLHAKANE EAST-MOREANE
2382,TENT AT MOREANE AGRICULTURE STOREROOM  ,LOTLHAKANE EAST-MOREANE
2383,MARAKA JUNIOR SECONDARY SCHOOL,LOTLHAKANE EAST-MOREANE
2800,TENT AT DIPHAWANA LANDS,LOTLHAKANE EAST-MOREANE
2384,LOTLHAKANE PRIMARY SCHOOL,LOTLHAKANE EAST-DIABO
2385,DIABO PRIMARY SCHOOL ,LOTLHAKANE EAST-DIABO
2386,TENT AT LOTLHAKANE EAST VDC OFFICE,LOTLHAKANE EAST-DIABO
2387,TENT AT GA-MAROTSWANA,LOTLHAKANE EAST-DIABO
2388,TENT AT GA-SETHEBE  ,LOTLHAKANE EAST-DIABO
2389,TENT AT GAMAE ,LOTLHAKANE EAST-DIABO
2390,TENT AT MMAMONKGE VDC OFFICE,MOLAPOWABOJANG WEST
2391,DIPOTSANA PRIMARY SCHOOL,MOLAPOWABOJANG WEST
2392,TENT AT GAMOSWAANA MOBILE STOP,MOLAPOWABOJANG WEST
2393,MAISANE MOBILE HEALTH CLINIC,MOLAPOWABOJANG WEST
2394,MOSAMOWAKWENA PRIMARY SCHOOL  ,MOLAPOWABOJANG WEST
2395,TENT AT TSHWENEYAGAE KGOTLA,MOLAPOWABOJANG WEST
2396,MOLAPOWABOJANG PRIMARY SCHOOL,MOLAPOWABOJANG CENTRAL
2397,TENT AT MOTLHWATSHE CLINIC,MOLAPOWABOJANG CENTRAL
2398,TENT AT PHATE FOOTBALL GROUND,MOLAPOWABOJANG CENTRAL
2399,TENT AT SUBITLHI DAY CARE CENTRE  ,MOLAPOWABOJANG CENTRAL
2400,TENT AT GA-TSHILWANA ,MOLAPOWABOJANG CENTRAL
2401,CHICHI JUNIOR SECONDARY SCHOOL,MOLAPOWABOJANG EAST
2402,PITSONYANE PRIMARY SCHOOL,MOLAPOWABOJANG EAST
2403,TENT AT MOLOKWE,MOLAPOWABOJANG EAST
2404,TENT AT MMOKELE KGOTLA,MOLAPOWABOJANG EAST
2405,"LOROLWANE PRIMARY SCHOOL,",LOROLWANE
2406,"LOROLWANE KGOTLA,  ",LOROLWANE
2407,TENT AT JN 16 FARM,LOROLWANE
2408,TENT AT SEBATAOLO LANDS,LOROLWANE
2409,GASITA PRIMARY SCHOOL,GASITA
2410,GASITA KGOTLA ,GASITA
2411,TENT AT GASEKITLA OUT OF SCHOOL TRAINING FACILITY,GASITA
2412,SELOKOLELA PRIMARY SCHOOL ,SELOKOLELA
2413,SELOKOLELA KGOTLA ,SELOKOLELA
2414,TENT AT LEPEKWANE NEAR FOOTBALL ROUND ,SELOKOLELA
2415,TENT AT DIPHATANA VDC PLOT,SELOKOLELA
2416,LODUBENG KGOTLA,LODUBENG
2417,NTEBOGANG JUNIOR SECONDARY SCHOOL,LODUBENG
2418,TENT AT BOFWA YOUTH CENTRE  ,LODUBENG
2419,TENT AT CORONA GROUNDS,LODUBENG
2420,TENT AT TLOUNG OPEN SPACE,TAUKOBONG
2421,TAUKOBONG KGOTLA ,TAUKOBONG
2422,SEKOKOTLA KGOTLA,TAUKOBONG
2423,KHUTO PRIMARY SCHOOL,TAUKOBONG
2424,MARANYANE PRIMARY SCHOOL  ,KGWATLHENG
2425,KGWATLHENG KGOTLA ,KGWATLHENG
2426,TENT AT REVELATION CHURCH,KGWATLHENG
2427,TENT AT MONGALA KGOTLA ,MARAPALALO
2428,MARAPALALO COMMUNITY HALL  ,MARAPALALO
2429,MAISANTWA PRIMARY SCHOOL ,MARAPALALO
2801,TENT AT MOTHEO ENGLISH MEDIUM NURSERY AND PRE-SCHOOL,MARAPALALO
2430,TSOPYE KGOTLA ,NYOROSI
2431,MAKABA PRIMARY SCHOOL ,NYOROSI
2432,LOHUTSHWANA KGOTLA  ,NYOROSI
2433,TENT AT MESO DAY-CARE CENTRE,NYOROSI
2434,SEGOPOTSO PRIMARY SCHOOL ,RUELE
2435,MOTSATSING PRIMARY SCHOOL ,RUELE
2436,TENT AT MPEPU DAY-CARE CENTRE,RUELE
2437,SEBEGO PRIMARY SCHOOL,MMATSHITSWANE EAST
2438,SEBEGO KGOTLA ,MMATSHITSWANE EAST
2439,TENT AT KANANA CHURCH ,MMATSHITSWANE EAST
2802,TENT AT MOOKODI KGOTLA,MMATSHITSWANE EAST
2440,LOGABA PRIMARY SCHOOL,MMATSHITSWANE WEST
2441,LOGABA KGOTLA,MMATSHITSWANE WEST
2442,MOOKAMI JUNIOR SECONDARY SCHOOL  ,MMATSHITSWANE WEST
2443,TENT AT VDC PLOT,MMATSHITSWANE WEST
2444,SEGWAGWA PRIMARY SCHOOL ,SEGWAGWA
2445,SEGWAGWA COMMUNITY HALL,SEGWAGWA
2446,DITOJANE PRIVATE SCHOOL,SEGWAGWA
2447,SEGWAGWA KGOTLA,SEGWAGWA
2448,TENT AT RAMONNEDI AGRICULTURAL EXTENSION OFFICE,SEGWAGWA
2449,MOGAPINAYANA VDC HOUSE,SEGWAGWA
2450,MASOKE VDC HOUSE ,KGWAKGWE
2451,NGWAKETSE JUNIOR SECONDARY SCHOOL ,KGWAKGWE
2452,TENT AT MMAMOKHASI KGOTLA ,KGWAKGWE
2453,TENT AT KGWAKGWE ,KGWAKGWE
2454,TENT AT MOLOMAKWANE  ,KGWAKGWE
2455,MMAMOKHASI CLINIC,KGWAKGWE
2456,DINTSANA DAY-CARE CENTRE  ,SESUNG-SEHERELELA
2457,SEHERELELA PRIMARY SCHOOL   ,SESUNG-SEHERELELA
2458,TENT AT SEHERELELA KGOTLA   ,SESUNG-SEHERELELA
2459,SESUNG PRIMARY SCHOOL   ,SESUNG-SEHERELELA
2460,TENT AT SESUNG KGOTLA   ,SESUNG-SEHERELELA
2461,TENT AT MMAMARU LANDS ,SESUNG-SEHERELELA
2462,TENT AT PITSENG KGOTLA   ,PITSENG
2463,PITSENG PRIMARY SCHOOL   ,PITSENG
2464,TENT AT KUBUKWANE MOBILE HEALTH STOP   ,PITSENG
2465,MACHANA PRIMARY SCHOOL   ,PITSENG
2466,TENT AT NALEDI MOBILE HEALTH STOP   ,PITSENG
2467,TENT AT MOATLE LANDS,PITSENG
2468,RALEKGETHO PRIMARY SCHOOL   ,RALEKGETHO
2469,TENT AT MOLOMOOJANG MOBILE STOP   ,RALEKGETHO
2470,TENT AT SEHIBIDUNG VDC HOUSE   ,RALEKGETHO
2471,TENT AT MOLAPOWABASADI DAM,RALEKGETHO
2472,TENT AT TLANEGE MOBILE HEALTH STOP   ,RALEKGETHO
2473,TENT AT LOTLHAKANE WEST KGOTLA   ,LOTLHAKANE WEST-TSHWAANE
2474,RANOI PRIMARY SCHOOL   ,LOTLHAKANE WEST-TSHWAANE
2475,TSHWAANE PRIMARY SCHOOL   ,LOTLHAKANE WEST-TSHWAANE
2476,TENT AT MARUTWE LANDS,LOTLHAKANE WEST-TSHWAANE
2803,TENT AT MASELWANA,LOTLHAKANE WEST-TSHWAANE
2477,MOSIELELE PRIMARY SCHOOL   ,MOSHUPA WEST
2478,TENT AT WATER UTILITIES CORPORATION OFFICE,MOSHUPA WEST
2479,YWCA DAY-CARE CENTRE   ,MOSHUPA WEST
2480,TENT AT AFRICAN METHODIST EPISCOPAL CHURCH OF SOUTHERN AFRICA,MOSHUPA WEST
2804,TENT AT SAU KGOTLA,MOSHUPA WEST
2481,BAKGATLA PRIMARY SCHOOL   ,MOSHUPA NORTH WEST
2482,MMANAANA JUNIOR SECONDARY SCHOOL  ,MOSHUPA NORTH WEST
2483,TENT AT MMASEETSELE S&CD OFFICE,MOSHUPA NORTH WEST
2484,MOSHUPA SUB-LAND BOARD   ,MOSHUPA NORTH EAST
2485,DIRATSAME JUNIOR SECONDARY SCHOOL   ,MOSHUPA NORTH EAST
2486,TENT AT SEDUDU KGOTLA  ,MOSHUPA NORTH EAST
2487,TENT AT MMASEETSELE CLINIC,MOSHUPA NORTH EAST
2488,MOSHUPA COMMUNITY HALL ,MOSHUPA EAST
2489,TENT AT GOOKODISA KGOTLA  ,MOSHUPA EAST
2490,KGABOSETSO PRIMARY SCHOOL ,MOSHUPA EAST
2491,MOSHUPA SENIOR SECONDARY SCHOOL  ,MOSHUPA EAST
2492,TENT AT MMADITSWERE ,MOSHUPA EAST
2493,BOSWELAKGOSI JUNIOR SECONDARY SCHOOL,MANYANA-MOGONYE
2494,TENT AT MANYANA KGOTLA   ,MANYANA-MOGONYE
2495,MANYANA PRIMARY SCHOOL   ,MANYANA-MOGONYE
2496,MOGONYE PRIMARY SCHOOL                        ,MANYANA-MOGONYE
2497,TENT AT BIKWE KGOTLA   ,MANYANA-MOGONYE
2498,BAITIRILE JUNIOR SECONDARY SCHOOL                        ,MOSHUPA SOUTH EAST
2499,TENT AT PHUTING KGOTLA   ,MOSHUPA SOUTH EAST
2500,TENT AT MOSHUPA MAIN KGOTLA,MOSHUPA SOUTH EAST
2501,TENT AT MATLHAKOLA MOBILE HEALTH STOP ,MOSHUPA SOUTH EAST
2502,TENT AT PYETLE MOBILE HEALTH STOP  ,MOSHUPA SOUTH EAST
2805,TENT AT KGOPA KGOTLA,MOSHUPA SOUTH EAST
2806,TENT AT NKAIKELA KGOTLA,MOSHUPA SOUTH EAST
2503,MOSHUPA BRIGADE  ,MOSHUPA SOUTH
2504,POLOKWE PRIMARY SCHOOL ,MOSHUPA SOUTH
2505,TENT AT JERUSALEMA KGOTLA  ,MOSHUPA SOUTH
2506,TENT AT LESOTOTO  ,MOSHUPA SOUTH
2807,TENT AT HATSALATLADI,MOSHUPA SOUTH
2507,KEBONYEKGOTLA PRIMARY SCHOOL  ,MOSHUPA CENTRAL
2508,KGABOPHUTI PRIMARY SCHOOL  ,MOSHUPA CENTRAL
2509,BAKOKO PRIMARY SCHOOL ,MOSHUPA CENTRAL
2510,TENT AT MODIMELE KGOTLA   ,MOSHUPA CENTRAL
2808,TENT AT MOGAUNG KGOTLA,MOSHUPA CENTRAL
2809,TENT AT RUNGWANA KGOTLA,MOSHUPA CENTRAL
2511,RANAKA PRIMARY SCHOOL    ,RANAKA
2512,TENT AT RANAKA KGOTLA  ,RANAKA
2513,TENT AT GOO-RA SEBUBI KGOTLA    ,RANAKA
2514,EMANG JUNIOR SECONDARY SCHOOL   ,NTLHANTLHE-LEKGOLOBOTLO
2515,NTLHANTLHE PRIMARY SCHOOL   ,NTLHANTLHE-LEKGOLOBOTLO
2516,TENT AT NTLHANTLHE KGOTLA    ,NTLHANTLHE-LEKGOLOBOTLO
2517,LEKGOLOBOTLO PRIMARY SHOOL    ,NTLHANTLHE-LEKGOLOBOTLO
2518,TENT AT POTSANE KGOTLA,NTLHANTLHE-LEKGOLOBOTLO
2519,MAGOTLHWANE PRIMARY SCHOOL         ,MAGOTLHWANE-KGOMOKASITWA
2520,TENT AT MAGOTLHWANE KGOTLA   ,MAGOTLHWANE-KGOMOKASITWA
2521,KGOMOKASITWA PRIMARY SCHOOL   ,MAGOTLHWANE-KGOMOKASITWA
2522,TENT AT KGOMOKASITWA KGOTLA   ,MAGOTLHWANE-KGOMOKASITWA
2523,TEEMANE PRIMARY SCHOOL,NGAMI
2524,JWANENG TECHNICAL COLLEGE,NGAMI
2525,KGALAGADI PRIMARY SCHOOL,KGALAGADI
2526,TENT AT UNIT 2 CHILDREN'S PLAYGROUND ,KGALAGADI
2527,DINONYANE PRIMARY SCHOOL,MOLOPO
2528,MORAMA JUNIOR SECONDARY SCHOOL,MOLOPO
2529,CUSTOMARY COURT (UNIT 3),MOLOPO
2530,JWANA PRIMARY SCHOOL,SEOLE
2531,TENT AT CBD AREA (BETWEEN CHOPPIES MALL AND SHELL FILLING STATION),SEOLE
2532,MULTIPURPOSE HALL ,MOGALE
2533,TENT AT UNIT 5 CHILDREN'S PLAYGROUND,MOGALE
2534,TENT AT INDUSTRIAL CAMP OPEN SPACE,MOGALE
2535,FIRE BRIGADE,TEEMANE
2536,TENT AT OPEN SPACE LOT NO. 7696  ,TEEMANE
2537,TENT AT OPEN SPACE LOT NO. 7142,TEEMANE
2538,RAPHALANE CUSTOMARY COURT,RAPHALANE
2539,TENT AT UNIT 6 PRIMARY SCHOOL PLOT (LOT NO. 4350),RAPHALANE
2540,TENT AT OPEN SPACE NEXT TO UNIT 7 CLINIC,MASA-A-SELE
2541,MASAASELE KGOTLA,MASA-A-SELE
2542,KOKONG PRIMARY SCHOOL,KOKONG-MORWAMOSU
2543,KOKONG KGOTLA,KOKONG-MORWAMOSU
2544,MORWAMOSU KGOTLA,KOKONG-MORWAMOSU
2545,MORWAMOSU PRIMARY SCHOOL ,KOKONG-MORWAMOSU
2546,MABUTSANE PRIMARY SCHOOL,MABUTSANE-KANAKU
2547,MABUTSANE COMMUNITY HALL,MABUTSANE-KANAKU
